turn_oid,sibling_oids,num_siblings,signature
16,15,1,"((1, 4862, 'Y'), (2, 4862, 'N'))"
20,19,1,"((1, 4957, 'Y'), (2, 4957, 'N'))"
22,21,1,"((1, 4956, 'Y'), (2, 4956, 'N'))"
25,24,1,"((1, 4954, 'Y'), (2, 4954, 'N'))"
40,39,1,"((1, 4939, 'Y'), (2, 4939, 'N'))"
42,41,1,"((1, 4940, 'Y'), (2, 4940, 'N'))"
44,43,1,"((1, 4943, 'Y'), (2, 4943, 'N'))"
46,45,1,"((1, 4942, 'Y'), (2, 4942, 'N'))"
48,47,1,"((1, 4941, 'Y'), (2, 4941, 'N'))"
50,27,1,"((1, 4960, 'Y'), (2, 4960, 'N'))"
54,53,1,"((1, 4962, 'Y'), (2, 4962, 'N'))"
56,55,1,"((1, 4963, 'Y'), (2, 4963, 'N'))"
58,57,1,"((1, 4964, 'Y'), (2, 4964, 'N'))"
60,59,1,"((1, 4967, 'Y'), (2, 4967, 'N'))"
71,70,1,"((1, 5040, 'Y'), (2, 5040, 'N'))"
75,74,1,"((1, 5016, 'Y'), (2, 5016, 'N'))"
77,76,1,"((1, 5017, 'Y'), (2, 5017, 'N'))"
81,80,1,"((1, 5021, 'Y'), (2, 5021, 'N'))"
86,85,1,"((1, 3983, 'Y'), (2, 3983, 'N'))"
132,131,1,"((1, 5392, 'Y'), (2, 5392, 'N'))"
135,134,1,"((1, 5383, 'Y'), (2, 5383, 'N'))"
137,136,1,"((1, 5382, 'Y'), (2, 5382, 'N'))"
144,140,1,"((1, 5279, 'Y'), (2, 5279, 'N'))"
145,141,1,"((1, 5278, 'Y'), (2, 5278, 'N'))"
146,143,1,"((1, 5277, 'Y'), (2, 5277, 'N'))"
148,147,1,"((1, 5276, 'Y'), (2, 5276, 'N'))"
150,149,1,"((1, 5274, 'Y'), (2, 5274, 'N'))"
153,142,1,"((1, 5275, 'Y'), (2, 5275, 'N'))"
155,154,1,"((1, 3890, 'Y'), (2, 3890, 'N'))"
158,157,1,"((1, 5270, 'Y'), (2, 5270, 'N'))"
160,159,1,"((1, 5268, 'Y'), (2, 5268, 'N'))"
162,161,1,"((1, 5267, 'Y'), (2, 5267, 'N'))"
170,169,1,"((1, 5269, 'Y'), (2, 5269, 'N'))"
172,171,1,"((1, 5271, 'Y'), (2, 5271, 'N'))"
174,167,1,"((1, 3555, 'Y'), (2, 3555, 'N'))"
176,175,1,"((1, 3556, 'Y'), (2, 3556, 'N'))"
185,184,1,"((1, 4079, 'Y'), (2, 4079, 'N'))"
187,186,1,"((1, 5260, 'Y'), (2, 5260, 'N'))"
201,200,1,"((1, 5453, 'Y'), (2, 5453, 'N'))"
207,204,1,"((1, 5333, 'Y'), (2, 5333, 'N'))"
211,210,1,"((1, 5122, 'Y'), (2, 5122, 'N'))"
213,212,1,"((1, 5121, 'Y'), (2, 5121, 'N'))"
215,214,1,"((1, 5123, 'Y'), (2, 5123, 'N'))"
217,216,1,"((1, 5249, 'Y'), (2, 5249, 'N'))"
227,226,1,"((1, 5443, 'Y'), (2, 5443, 'N'))"
241,240,1,"((1, 5205, 'Y'), (2, 5205, 'N'))"
253,252,1,"((1, 4848, 'Y'), (2, 4848, 'N'))"
255,254,1,"((1, 4849, 'Y'), (2, 4849, 'N'))"
257,256,1,"((1, 4850, 'Y'), (2, 4850, 'N'))"
259,258,1,"((1, 4851, 'Y'), (2, 4851, 'N'))"
261,260,1,"((1, 4852, 'Y'), (2, 4852, 'N'))"
263,262,1,"((1, 4853, 'Y'), (2, 4853, 'N'))"
266,250,1,"((1, 4845, 'Y'), (2, 4845, 'N'))"
268,267,1,"((1, 4844, 'Y'), (2, 4844, 'N'))"
271,269,1,"((1, 4842, 'Y'), (2, 4842, 'N'))"
288,287,1,"((1, 4814, 'Y'), (2, 4814, 'N'))"
290,289,1,"((1, 4815, 'Y'), (2, 4815, 'N'))"
292,291,1,"((1, 4816, 'Y'), (2, 4816, 'N'))"
294,293,1,"((1, 4817, 'Y'), (2, 4817, 'N'))"
298,297,1,"((1, 4820, 'Y'), (2, 4820, 'N'))"
300,299,1,"((1, 4821, 'Y'), (2, 4821, 'N'))"
303,302,1,"((1, 4823, 'Y'), (2, 4823, 'N'))"
305,304,1,"((1, 4824, 'Y'), (2, 4824, 'N'))"
307,306,1,"((1, 4825, 'Y'), (2, 4825, 'N'))"
309,308,1,"((1, 3410, 'Y'), (2, 3410, 'N'))"
314,313,1,"((1, 4786, 'Y'), (2, 4786, 'N'))"
316,315,1,"((1, 4787, 'Y'), (2, 4787, 'N'))"
318,317,1,"((1, 4788, 'Y'), (2, 4788, 'N'))"
322,321,1,"((1, 4781, 'Y'), (2, 4781, 'N'))"
324,323,1,"((1, 4780, 'Y'), (2, 4780, 'N'))"
326,325,1,"((1, 4779, 'Y'), (2, 4779, 'N'))"
330,329,1,"((1, 4777, 'Y'), (2, 4777, 'N'))"
338,337,1,"((1, 4507, 'Y'), (2, 4507, 'N'))"
