old_turn_oid_a,old_turn_oid_b,self_check_a,self_check_b,other_streets_at_junction,has_real_intersection
30,29,True,True,CONNAUGHT;NORWOOD;QUINPOOL,True
34,33,True,True,LEMARCHANT;SEYMOUR;UNIVERSITY,True
36,35,True,True,HENRY;SEYMOUR;UNIVERSITY,True
39,38,True,True,EDWARD;ROBIE;UNIVERSITY,True
56,55,True,True,INGLIS;ROBIE;ROXTON,True
58,57,True,True,BELMONT;INGLIS;ROBIE,True
60,59,True,True,BELMONT;OAKLAND;ROBIE,True
62,61,True,True,FRASER;OAKLAND;ROBIE,True
64,63,True,True,FRASER;ROBIE;SOUTH,True
66,41,True,True,COLLEGE;ROBIE;UNIVERSITY,True
70,69,True,True,BLISS;COBURG;ROBIE;SPRING GARDEN,True
72,71,True,True,BINNEY;BLISS;ROBIE,True
74,73,True,True,BINNEY;JUBILEE;ROBIE;VETERANS MEMORIAL,True
76,75,True,True,CEDAR;JUBILEE;ROBIE;VETERANS MEMORIAL,True
102,101,True,True,COGSWELL;CREIGHTON;GOTTINGEN,True
107,106,True,True,HARBOURVIEW;OGILVIE;YOUNG,True
109,108,True,True,HARBOURVIEW;SOUTHWOOD;YOUNG,True
113,112,True,True,ATLANTIC;INGLIS;SOUTH PARK;YOUNG,True
118,117,True,True,MUMFORD;TA16;UNDER REVIEW  262,True
215,214,True,True,BURNSIDE;HIGHFIELD PARK;HIGHWAY 111 EB EXIT 3 OFF;HIGHWAY 111 EB EXIT 3 ON,True
218,217,True,True,BROWNLOW;COMMODORE,True
220,219,True,True,BROWNLOW;COMMODORE,True
227,223,True,True,COMMODORE;FINLAY;JOHN SAVAGE;LAMONT,True
228,224,True,True,COMMODORE;FINLAY;LAMONT,True
229,226,True,True,COMMODORE;FINLAY;LAMONT;LEMLAIR,True
231,230,True,True,LAMONT;LEMLAIR,True
233,232,True,True,COMMODORE;COUNTRYVIEW;GALE,True
236,225,True,True,COMMODORE;COUNTRYVIEW;FINLAY;GALE;LAMONT,True
238,237,True,True,COUNTRYVIEW;HECTOR,True
241,240,True,True,COUNTRYVIEW;LOGIEALMOND;MCCLURE,True
243,242,True,True,COUNTRYVIEW;FERINDONALD;LOGIEALMOND,True
245,244,True,True,COUNTRYVIEW;FERINDONALD;SHUBIE,True
254,253,True,True,DRUM;FINLAY;MCCLURE;SHUBIE,True
256,255,True,True,FINLAY;MCCLURE,True
