old_turn_oid,edge1_fid,reason,note
17,6883,old_oid_not_found_in_old_edge_fc,
51,15244,no_new_edge_within_tolerance,
78,14877,old_oid_not_found_in_old_edge_fc,
83,15348,old_oid_not_found_in_old_edge_fc,
86,15662,old_oid_not_found_in_old_edge_fc,
87,14873,old_oid_not_found_in_old_edge_fc,
88,14869,old_oid_not_found_in_old_edge_fc,
105,45202,old_oid_not_found_in_old_edge_fc,
169,15348,old_oid_not_found_in_old_edge_fc,
352,14342,old_oid_not_found_in_old_edge_fc,
407,14849,no_new_edge_within_tolerance,
513,16060,old_oid_not_found_in_old_edge_fc,
659,12441,old_oid_not_found_in_old_edge_fc,
673,45200,old_oid_not_found_in_old_edge_fc,
674,45216,old_oid_not_found_in_old_edge_fc,
675,45215,old_oid_not_found_in_old_edge_fc,
676,45211,old_oid_not_found_in_old_edge_fc,
682,2486,old_oid_not_found_in_old_edge_fc,
1072,45214,old_oid_not_found_in_old_edge_fc,
3308,15271,no_new_edge_within_tolerance,
3557,47121,old_oid_not_found_in_old_edge_fc,
3942,7249,no_new_edge_within_tolerance,
3943,14677,no_new_edge_within_tolerance,
4577,16287,old_oid_not_found_in_old_edge_fc,
4910,45214,old_oid_not_found_in_old_edge_fc,
4911,15239,old_oid_not_found_in_old_edge_fc,
4912,5339,old_oid_not_found_in_old_edge_fc,
5211,45205,old_oid_not_found_in_old_edge_fc,
5212,45217,old_oid_not_found_in_old_edge_fc,
