old_turn_oid_a,old_turn_oid_b,a_maneuver,a_edge1_street,a_edge1_pos,a_edge2_street,a_edge2_pos,a_edge3_street,a_edge3_pos,a_edge4_street,a_edge4_pos,a_edge5_street,a_edge5_pos,a_SHAPE.STLength(),b_maneuver,b_edge1_street,b_edge1_pos,b_edge2_street,b_edge2_pos,b_edge3_street,b_edge3_pos,b_edge4_street,b_edge4_pos,b_edge5_street,b_edge5_pos,b_SHAPE.STLength()
30,29,CONNAUGHT -> CONNAUGHT,CONNAUGHT,0.98087386,CONNAUGHT,0.0229343,,,,,,,9.311526633103206,CONNAUGHT -> CONNAUGHT,CONNAUGHT,0.97670319,CONNAUGHT,0.02703395,,,,,,,11.133026610520005
34,33,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.94515341,UNIVERSITY,0.04968961,,,,,,,11.845989489171043,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.94990765,UNIVERSITY,0.04799874,,,,,,,11.115216530911974
36,35,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.94672597,UNIVERSITY,0.0404895,,,,,,,9.661157012542256,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.94045591,UNIVERSITY,0.05640815,,,,,,,11.950038694152923
39,38,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.98379934,UNIVERSITY,0.01784947,,,,,,,3.8940968642897,UNIVERSITY -> UNIVERSITY,UNIVERSITY,0.96672609,UNIVERSITY,0.03589053,,,,,,,7.910470100422818
56,55,ROBIE -> ROBIE,ROBIE,0.97887898,ROBIE,0.02460455,,,,,,,10.645444651953822,ROBIE -> ROBIE,ROBIE,0.98526702,ROBIE,0.01428756,,,,,,,6.754460066842975
58,57,ROBIE -> ROBIE,ROBIE,0.9708167,ROBIE,0.02930797,,,,,,,8.575651454673608,ROBIE -> ROBIE,ROBIE,0.96889316,ROBIE,0.03212088,,,,,,,9.271064045072482
60,59,ROBIE -> ROBIE,ROBIE,0.95571931,ROBIE,0.0438582,,,,,,,8.87027574057947,ROBIE -> ROBIE,ROBIE,0.95432106,ROBIE,0.0397204,,,,,,,8.592512802182112
62,61,ROBIE -> ROBIE,ROBIE,0.96196851,ROBIE,0.03874784,,,,,,,8.114965307571984,ROBIE -> ROBIE,ROBIE,0.95774496,ROBIE,0.04057477,,,,,,,8.754620630259058
64,63,ROBIE -> ROBIE,ROBIE,0.96920845,ROBIE,0.03175607,,,,,,,7.092988310496907,ROBIE -> ROBIE,ROBIE,0.96409292,ROBIE,0.03635937,,,,,,,8.195513364568043
66,41,ROBIE -> ROBIE,ROBIE,0.97763099,ROBIE,0.02256241,,,,,,,6.468383395574549,ROBIE -> ROBIE,ROBIE,0.98283727,ROBIE,0.01668829,,,,,,,4.873200286697728
70,69,ROBIE -> ROBIE,ROBIE,0.96968072,ROBIE,0.03236616,,,,,,,6.094893356639426,ROBIE -> ROBIE,ROBIE,0.96517124,ROBIE,0.03341626,,,,,,,6.63554093265822
