turn_oid,category,sibling_oids,edge1_fid,edge1_pos,edge1_street_name,nearest_system_junction_m,junction_linked_candidate
1,geometry_gap,,4356,0.996354,HIGHWAY 103,265.374,True
16,geometry_gap,,4862,0.980874,CONNAUGHT,295.232,True
20,geometry_gap,,4957,0.945153,UNIVERSITY,6.219,True
22,geometry_gap,,4956,0.946726,UNIVERSITY,86.060,True
25,geometry_gap,,4954,0.983799,UNIVERSITY,268.124,True
40,geometry_gap,,4939,0.978879,ROBIE,517.075,True
42,geometry_gap,,4940,0.970817,ROBIE,563.668,True
44,geometry_gap,,4943,0.955719,ROBIE,483.357,True
46,geometry_gap,,4942,0.961969,ROBIE,403.244,True
48,geometry_gap,,4941,0.969208,ROBIE,330.475,True
50,geometry_gap,,4960,0.977631,ROBIE,301.719,True
54,geometry_gap,,4962,0.969681,ROBIE,445.007,True
56,geometry_gap,,4963,0.981778,ROBIE,566.519,True
58,geometry_gap,,4964,0.978491,ROBIE,657.756,True
60,geometry_gap,,4967,0.967298,ROBIE,603.957,True
61,geometry_gap,,12103,0.941153,ROBIE,607.374,True
68,geometry_gap,,4978,0.941286,ROBIE,34.787,True
71,geometry_gap,,5040,0.97977,COGSWELL,188.641,True
73,geometry_gap,,12453,0.989718,COGSWELL,163.393,True
75,geometry_gap,,5016,0.981123,YOUNG,714.415,True
77,geometry_gap,,5017,0.982222,YOUNG,717.618,True
81,geometry_gap,,5021,0.98738,YOUNG,502.200,True
86,geometry_gap,,3983,0.972809,MUMFORD,448.935,True
113,geometry_gap,,12061,0.044856,CEDAR,609.410,True
118,geometry_gap,,5322,0.937002,AKERLEY,174.923,True
119,geometry_gap,,284,0.989141,AKERLEY,169.715,True
120,geometry_gap,,5329,0.94878,BURNSIDE,171.056,True
132,geometry_gap,,5392,0.96091,HIGHFIELD PARK,1138.493,True
135,geometry_gap,,5383,0.976177,COMMODORE,228.714,True
137,geometry_gap,,5382,0.969399,COMMODORE,267.300,True
144,geometry_gap,,5279,0.995861,COMMODORE,54.530,True
145,geometry_gap,,5278,0.948893,FINLAY,2.982,True
146,geometry_gap,,5277,0.987118,LAMONT,240.594,True
148,geometry_gap,,5276,0.961067,LAMONT,292.032,True
150,geometry_gap,,5274,0.968407,GALE,223.372,True
153,geometry_gap,,5275,0.988539,COMMODORE,218.032,True
155,geometry_gap,,3890,0.963029,HECTOR,237.915,True
158,geometry_gap,,5270,0.983926,COUNTRYVIEW,407.008,True
160,geometry_gap,,5268,0.975404,COUNTRYVIEW,407.671,True
162,geometry_gap,,5267,0.982167,COUNTRYVIEW,449.121,True
170,geometry_gap,,5269,0.989613,FINLAY,319.382,True
172,geometry_gap,,5271,0.970519,FINLAY,222.912,True
174,geometry_gap,,3555,0.984853,WRIGHT,380.697,True
176,geometry_gap,,3556,0.98409,WRIGHT,566.995,True
185,geometry_gap,,4079,0.991387,VICTORIA,1566.745,True
187,geometry_gap,,5260,0.963264,VICTORIA,1502.784,True
201,geometry_gap,,5453,0.961566,GLEN MANOR,53.846,True
207,geometry_gap,,5333,0.96538,GRAHAMS,180.645,True
211,geometry_gap,,5122,0.937429,GORDON,441.600,True
213,geometry_gap,,5121,0.949956,GORDON,440.904,True
215,geometry_gap,,5123,0.931879,MAIN,515.687,True
217,geometry_gap,,5249,0.955635,MAIN,515.185,True
227,geometry_gap,,5443,0.959269,PORTLAND,94.556,True
241,geometry_gap,,5205,0.94727,PORTLAND,122.546,True
253,geometry_gap,,4848,0.959983,CONNAUGHT,251.218,True
255,geometry_gap,,4849,0.953363,CONNAUGHT,311.324,True
257,geometry_gap,,4850,0.960906,CONNAUGHT,381.004,True
259,geometry_gap,,4851,0.960527,CONNAUGHT,453.587,True
261,geometry_gap,,4852,0.960195,CONNAUGHT,528.142,True
263,geometry_gap,,4853,0.960303,CONNAUGHT,602.426,True
266,geometry_gap,,4845,0.982429,CONNAUGHT,376.603,True
268,geometry_gap,,4844,0.960944,CONNAUGHT,298.224,True
271,geometry_gap,,4842,0.954477,CONNAUGHT,221.632,True
288,geometry_gap,,4814,0.865573,AGRICOLA,462.976,True
290,geometry_gap,,4815,0.916606,AGRICOLA,427.637,True
292,geometry_gap,,4816,0.9562,AGRICOLA,360.337,True
294,geometry_gap,,4817,0.964626,AGRICOLA,289.098,True
298,geometry_gap,,4820,0.97413,AGRICOLA,142.459,True
300,geometry_gap,,4821,0.971363,AGRICOLA,155.909,True
303,geometry_gap,,4823,0.967542,AGRICOLA,160.217,True
305,geometry_gap,,4824,0.975897,AGRICOLA,243.615,True
307,geometry_gap,,4825,0.969461,AGRICOLA,342.023,True
309,geometry_gap,,3410,0.949684,DARTMOUTH,226.327,True
314,geometry_gap,,4786,0.93835,KENNY,277.391,True
316,geometry_gap,,4787,0.978902,KENNY,193.639,True
318,geometry_gap,,4788,0.973363,KENNY,166.008,True
322,geometry_gap,,4781,0.982314,DEVONSHIRE,433.368,True
324,geometry_gap,,4780,0.980576,DEVONSHIRE,268.057,True
326,geometry_gap,,4779,0.951385,DEVONSHIRE,207.877,True
330,geometry_gap,,4777,0.966525,DEVONSHIRE,76.671,True
338,geometry_gap,,4507,0.959178,CHAIN LAKE,231.175,True
340,geometry_gap,,4508,0.976704,CHAIN LAKE,113.413,True
358,geometry_gap,,3909,0.967524,HOBSONS LAKE,378.494,True
363,geometry_gap,,4586,0.979841,LACEWOOD,416.200,True
365,geometry_gap,,4587,0.983097,LACEWOOD,581.548,True
375,geometry_gap,,4605,0.976345,LACEWOOD,158.455,True
382,geometry_gap,,4647,0.992829,DUNBRACK,187.785,True
384,geometry_gap,,4646,0.988278,DUNBRACK,443.265,True
386,geometry_gap,,4645,0.989803,DUNBRACK,243.916,True
388,geometry_gap,,4643,0.98872,DUNBRACK,116.344,True
390,geometry_gap,,4636,0.903427,KEARNEY LAKE,270.384,True
393,geometry_gap,,4669,0.985213,DUNBRACK,128.354,True
402,geometry_gap,,3324,0.985685,WASHMILL LAKE,443.601,True
404,geometry_gap,,3325,0.969222,WASHMILL LAKE,498.399,True
418,geometry_gap,,4410,0.967117,NELSONS LANDING,216.419,True
422,geometry_gap,,4277,0.957826,GLENDALE,177.204,True
423,geometry_gap,,4281,0.953366,GLENDALE,122.360,True
424,geometry_gap,,17146,0.949393,DUKE,73.654,True
425,geometry_gap,,4279,0.952416,DUKE,81.303,True
426,geometry_gap,,4280,0.95206,DUKE,119.511,True
432,geometry_gap,,2740,0.964671,ARSENAL,304.562,True
434,geometry_gap,,2724,0.958087,ARSENAL,143.734,True
436,geometry_gap,,2728,0.97194,NICKEL,1.249,True
438,geometry_gap,,2736,0.971212,JETTY,360.630,True
440,geometry_gap,,2733,0.973828,JETTY,459.367,True
442,geometry_gap,,2731,0.967261,JETTY,508.332,True
444,geometry_gap,,2742,0.954155,NICKEL,434.751,True
446,geometry_gap,,2745,0.961518,NICKEL,412.828,True
452,geometry_gap,,290,0.946053,AKERLEY,396.795,True
457,geometry_gap,,5146,0.895261,NANTUCKET,235.811,True
464,geometry_gap,,5142,0.932891,WYSE,328.843,True
466,geometry_gap,,5145,0.924232,WYSE,360.144,True
467,geometry_gap,,5256,0.950142,HIGHFIELD PARK,1355.851,True
472,geometry_gap,,54,0.945871,PRINCESS MARGARET,110.997,True
474,geometry_gap,,56,0.972777,PRINCESS MARGARET,2.890,True
476,geometry_gap,,46,0.9466,PRINCESS MARGARET,29.914,True
478,geometry_gap,,4789,0.845402,GLEBE,334.436,True
480,geometry_gap,,15107,0.969556,WILDWOOD,296.079,True
485,geometry_gap,,4130,0.981951,MOUNT HOPE,268.210,True
488,geometry_gap,,3612,0.935436,PLEASANT,691.002,True
490,geometry_gap,,3825,0.89992,MARINE PARADE,394.094,True
492,geometry_gap,,3708,0.934975,BONAVENTURE,702.261,True
495,geometry_gap,,4479,0.955438,EVANS,563.299,True
497,geometry_gap,,4955,0.952863,UNIVERSITY,89.758,True
501,geometry_gap,,4818,0.946032,AGRICOLA,222.795,True
502,geometry_gap,,4819,0.93534,AGRICOLA,223.566,True
503,geometry_gap,,4822,0.97207,AGRICOLA,160.792,True
505,geometry_gap,,5204,0.944394,PORTLAND,88.842,True
507,geometry_gap,,5195,0.939222,PORTLAND ESTATES,98.906,True
509,geometry_gap,,5196,0.950093,PORTLAND ESTATES,74.136,True
511,geometry_gap,,5197,0.973371,PORTLAND ESTATES,115.735,True
513,geometry_gap,,5198,0.967333,PORTLAND ESTATES,97.945,True
515,geometry_gap,,5199,0.972621,PORTLAND ESTATES,80.855,True
518,geometry_gap,,5215,0.932523,PORTLAND,212.160,True
528,geometry_gap,,5170,0.962628,ALDERNEY,168.506,True
530,geometry_gap,,5169,0.983549,ALDERNEY,243.242,True
532,geometry_gap,,5168,0.957926,ALDERNEY,280.751,True
534,geometry_gap,,5167,0.973388,ALDERNEY,341.902,True
536,geometry_gap,,5166,0.956917,ALDERNEY,410.333,True
538,geometry_gap,,5165,0.968827,ALDERNEY,487.253,True
540,geometry_gap,,5164,0.924158,ALDERNEY,526.359,True
544,geometry_gap,,5156,0.976843,WINDMILL,101.070,True
546,geometry_gap,,5157,0.973765,WINDMILL,93.487,True
564,geometry_gap,,4741,0.918253,HERRING COVE,266.801,True
565,geometry_gap,,4740,0.956947,HERRING COVE,336.174,True
601,geometry_gap,,4997,0.87033,WINDSOR,421.194,True
604,geometry_gap,,70,0.869411,SACKVILLE,338.564,True
606,geometry_gap,,62,0.864448,SACKVILLE,281.357,True
615,geometry_gap,,5158,0.972003,WINDMILL,179.671,True
617,geometry_gap,,1566,0.927321,WINDMILL,203.185,True
639,geometry_gap,,12471,0.983934,CUNARD,34.026,True
644,geometry_gap,,4070,0.987546,SUMMER,583.186,True
645,geometry_gap,,4069,0.982759,SUMMER,624.891,True
700,geometry_gap,,7416,0.997044,HIGHWAY 107,2.070,True
710,geometry_gap,,3601,0.930699,ROCKY LAKE,230.108,True
781,geometry_gap,,1698,0.914755,LEGACY,83.944,True
783,geometry_gap,,69,0.921922,SACKVILLE,314.161,True
785,geometry_gap,,64,0.923921,SACKVILLE,281.079,True
813,geometry_gap,,3259,0.96845,CROOKED STICK,1649.353,True
833,geometry_gap,,4331,0.887197,BALLYBUNION,187.414,True
835,geometry_gap,,4206,0.948201,GLEN ARBOUR,339.117,True
839,geometry_gap,,4208,0.959282,VOYAGEUR,114.641,True
843,geometry_gap,,3662,0.065129,LARRY UTECK,1.314,True
844,geometry_gap,,3656,0.959096,HAMMONDS PLAINS,1.073,True
866,geometry_gap,,4213,0.924457,BEECHVILLE PARK,44.118,True
889,geometry_gap,,4338,0.954978,WESTWOOD,620.867,True
912,geometry_gap,,1591,0.98953,HIGHWAY 103 WB EXIT 5A ON,1469.148,True
914,geometry_gap,,1593,0.991216,HIGHWAY 103 EB EXIT 5A ON,1432.535,True
915,geometry_gap,,7076,0.996203,HIGHWAY 103,1432.282,True
926,geometry_gap,,4148,0.930298,EAST CHEZZETCOOK,793.576,True
929,geometry_gap,,4166,0.972058,NEBOOKTOOK,6118.315,True
958,geometry_gap,,1425,0.888189,PORTLAND,202.210,True
964,geometry_gap,,3271,0.921243,MORRIS LAKE,653.771,True
985,geometry_gap,,1370,0.968738,MICMAC,571.004,True
986,geometry_gap,,7414,0.137565,PRINCE ALBERT,138.840,True
990,geometry_gap,,1265,0.929393,HECTOR,567.653,True
1048,geometry_gap,,15331,0.95475,WYSE,295.640,True
1050,geometry_gap,,5147,0.915699,NANTUCKET,297.507,True
1052,geometry_gap,,1395,0.880244,WYSE,343.324,True
1074,geometry_gap,,4443,0.933734,SCIENCE PARK,672.235,True
1079,geometry_gap,,3407,0.978373,INNOVATION,369.216,True
1083,geometry_gap,,2471,0.898544,BEDROS,381.320,True
1097,geometry_gap,,1364,0.926497,PARKLAND,89.696,True
1117,geometry_gap,,3701,0.928711,THOMAS RADDALL,396.756,True
1154,geometry_gap,,3627,0.865815,HERRING COVE,324.225,True
1155,geometry_gap,,11863,0.960674,QUINPOOL,525.737,True
1160,geometry_gap,,2058,0.944961,CHEBUCTO,422.985,True
1187,geometry_gap,,3680,0.977937,PRINCE ARTHUR,578.922,True
