turn_oid,old_edge_1,old_edge_2,rightful_new_edge_1,rightful_new_edge_2,category
16,14371,14820,,,UNRESOLVED
15,14820,14371,,,UNRESOLVED
20,15777,15378,,,UNRESOLVED
19,15378,15777,,,UNRESOLVED
22,15094,15268,,,UNRESOLVED
21,15268,15094,,,UNRESOLVED
25,15776,14884,,,UNRESOLVED
24,14884,15776,,,UNRESOLVED
40,14891,15779,,,UNRESOLVED
39,15779,14891,,,UNRESOLVED
42,15398,14351,,,UNRESOLVED
41,14351,15398,,,UNRESOLVED
44,14889,14352,,,UNRESOLVED
43,14352,14889,,,UNRESOLVED
46,15356,15834,,,UNRESOLVED
45,15834,15356,,,UNRESOLVED
48,14890,15835,,,UNRESOLVED
47,15835,14890,,,UNRESOLVED
50,14881,15292,,,UNRESOLVED
27,15292,14881,,,UNRESOLVED
54,14880,15839,,,UNRESOLVED
53,15839,14880,,,UNRESOLVED
56,14879,14374,,,UNRESOLVED
55,14374,14879,,,UNRESOLVED
58,15350,14375,,,UNRESOLVED
57,14375,15350,,,UNRESOLVED
60,15349,14376,,,UNRESOLVED
59,14376,15349,,,UNRESOLVED
71,14676,15105,,,UNRESOLVED
70,15105,14676,,,UNRESOLVED
75,14682,14350,,,UNRESOLVED
74,14350,14682,,,UNRESOLVED
77,15249,15778,,,UNRESOLVED
76,15778,15249,,,UNRESOLVED
81,15247,14349,,,UNRESOLVED
80,14349,15247,,,UNRESOLVED
86,16030,15624,,,UNRESOLVED
85,15624,16030,,,UNRESOLVED
132,15736,14627,,,UNRESOLVED
131,14627,15736,,,UNRESOLVED
135,14629,14630,,,UNRESOLVED
134,14630,14629,,,UNRESOLVED
137,14628,14631,,,UNRESOLVED
136,14631,14628,,,UNRESOLVED
144,14693,15961,,,UNRESOLVED
140,15961,14693,,,UNRESOLVED
145,14694,15916,,,UNRESOLVED
141,15916,14694,,,UNRESOLVED
146,14643,14695,,,UNRESOLVED
143,14695,14643,,,UNRESOLVED
148,14690,14696,,,UNRESOLVED
147,14696,14690,,,UNRESOLVED
150,14697,14691,,,UNRESOLVED
149,14691,14697,,,UNRESOLVED
153,14642,15962,,,UNRESOLVED
142,15962,14642,,,UNRESOLVED
155,15534,15535,,,UNRESOLVED
154,15535,15534,,,UNRESOLVED
158,14699,14652,,,UNRESOLVED
157,14652,14699,,,UNRESOLVED
160,14700,14552,,,UNRESOLVED
159,14552,14700,,,UNRESOLVED
162,14701,15613,,,UNRESOLVED
